id,docName,docTypeName,sourceDepartmentName,submitter,receiver,signer,handoverDate,storageLocation,remarks,createdByName,createdAt,updatedByName,updatedAt
"57","报销单","财务凭证","","郑销售","财务部","","","","差旅费","sales_rep","2025/4/11","","2025/4/11"
"97","关于统一邮件签名格式的建议","内部建议","","屈助理","IT部","","2024/8/28","","提高专业形象","admin","2025/4/11","","2025/4/11"
"54","启动会纪要","会议纪要","","张经理","李工","王总","2023/10/1","A-101","","admin","2025/4/11","","2025/4/11"
"55","采购单","财务凭证","","赵采购","钱库管","","2023/11/5","库房","加急","user1","2025/4/11","","2025/4/11"
"56","周报","工作报告","","周工","吴主管","","2024/1/8","","本周进展","dev_user","2025/4/11","","2025/4/11"
"62","用户满意度调研问卷结果分析","市场文档","","秦分析员","市场总监","","2024/6/12","市场部共享","包含图表","mkt_user","2025/4/11","","2025/4/11"
"58","设计稿 V1","设计文档","","冯设计","陈产品","史总监","2024/2/15","设计服务器","初稿","designer","2025/4/11","","2025/4/11"
"59","XX项目详细设计说明书","技术文档","","蒋工","测试组","沈经理","2024/3/10","文档库/XX项目","V1.2 版本","admin","2025/4/11","","2025/4/11"
"60","供应商XXX公司年度评估报告","评估报告","","韩采购","采购总监","","2024/4/1","采购部文件柜","","user2","2025/4/11","","2025/4/11"
"61","关于调整办公区域的通知","行政通知","","杨助理","全体员工","朱经理","2024/5/5","","下周一开始执行","admin","2025/4/11","","2025/4/11"